budget,split,bootstrap_replicate,cost_model,Q0,L_ctx,cap,oracle_loss,oracle_N_B,oracle_D_B,oracle_Q_B,oracle_budget_ratio
1e+19,train,88,exponential,0.2,32768,1x,3.32823988316,0.260752986431,2.25065733017,0.798325739153,1
1e+19,train,88,exponential,0.2,32768,2x,3.32823988316,0.260752914631,2.25065790879,0.798325705774,1
1e+19,train,88,exponential,0.2,32768,3x,3.32823988316,0.260752993753,2.25065724696,0.798325749176,1
1e+19,train,88,exponential,0.2,32768,5x,3.32823988316,0.260752959346,2.25065703798,0.79832586618,1
1e+19,train,88,exponential,0.2,32768,free,3.32823988316,0.26075301967,2.25065712921,0.798325736306,1
1e+19,train,88,exponential,0.8,2048,1x,3.09068216831,0.247186216356,6.31167782475,0.8,1
1e+19,train,88,exponential,0.8,2048,2x,3.09068216831,0.247186217065,6.31167780665,0.8,1
1e+19,train,88,exponential,0.8,2048,3x,3.09068216831,0.247186208019,6.31167803763,0.8,1
1e+19,train,88,exponential,0.8,2048,5x,3.09068216831,0.247186224769,6.31167760993,0.8,1
1e+19,train,88,exponential,0.8,2048,free,3.09068216831,0.247186206918,6.31167806575,0.8,1
1e+19,train,88,exponential,0.8,32768,1x,3.23733481917,0.181369245356,4.39205800953,0.8,1
1e+19,train,88,exponential,0.8,32768,2x,3.23733481917,0.181369233695,4.39205829191,0.8,1
1e+19,train,88,exponential,0.8,32768,3x,3.23733481917,0.181369251374,4.39205786381,0.8,1
1e+19,train,88,exponential,0.8,32768,5x,3.23733481917,0.181369246957,4.39205797076,0.8,1
1e+19,train,88,exponential,0.8,32768,free,3.23733481917,0.181369243508,4.39205805429,0.8,1
1e+19,train,88,power,0.2,2048,1x,3.24148925579,0.388383211131,2.94616585239,0.653670165681,1
1e+19,train,88,power,0.2,2048,2x,3.24148925579,0.388383211131,2.94616585239,0.653670165681,1
1e+19,train,88,power,0.2,2048,3x,3.24148925579,0.388383123544,2.94616734287,0.653669958779,1
1e+19,train,88,power,0.2,2048,5x,3.24148925579,0.388383132577,2.94616690508,0.653670038704,1
1e+19,train,88,power,0.2,2048,free,3.24148925579,0.388383211131,2.94616585239,0.653670165681,1
1e+19,train,88,power,0.2,32768,1x,3.37324660703,0.27971963773,2.04503106612,0.725655749302,1
1e+19,train,88,power,0.2,32768,2x,3.37324660703,0.279719619223,2.04503119622,0.725655738998,1
1e+19,train,88,power,0.2,32768,3x,3.37324660703,0.279719641857,2.04503109376,0.725655733875,1
1e+19,train,88,power,0.2,32768,5x,3.37324660703,0.279719619223,2.04503119622,0.725655738998,1
1e+19,train,88,power,0.2,32768,free,3.37324660703,0.279719619223,2.04503119622,0.725655738998,1
1e+19,train,88,power,0.8,2048,1x,3.09068216831,0.247186216356,6.31167782475,0.8,1
1e+19,train,88,power,0.8,2048,2x,3.09068216831,0.247186217065,6.31167780665,0.8,1
1e+19,train,88,power,0.8,2048,3x,3.09068216831,0.247186208019,6.31167803763,0.8,1
1e+19,train,88,power,0.8,2048,5x,3.09068216831,0.247186224769,6.31167760993,0.8,1
1e+19,train,88,power,0.8,2048,free,3.09068216831,0.247186206918,6.31167806575,0.8,1
1e+19,train,88,power,0.8,32768,1x,3.23733481917,0.181369248155,4.39205794176,0.8,1
1e+19,train,88,power,0.8,32768,2x,3.23733481917,0.181369252623,4.39205783357,0.8,1
1e+19,train,88,power,0.8,32768,3x,3.23733481917,0.181369252588,4.39205783441,0.8,1
1e+19,train,88,power,0.8,32768,5x,3.23733481917,0.181369253044,4.39205782337,0.8,1
1e+19,train,88,power,0.8,32768,free,3.23733481917,0.181369243508,4.39205805429,0.8,1
1e+19,train,88,logarithmic,0.2,2048,1x,3.20245654729,0.460744554727,1.80123246103,1,1
1e+19,train,88,logarithmic,0.2,2048,2x,3.20245654729,0.460744555367,1.8012324597,1,1
1e+19,train,88,logarithmic,0.2,2048,3x,3.20245654729,0.46074456592,1.80123243775,1,1
1e+19,train,88,logarithmic,0.2,2048,5x,3.20245654729,0.460744541615,1.80123248829,1,1
1e+19,train,88,logarithmic,0.2,2048,free,3.20245654729,0.460744544295,1.80123248272,1,1
1e+19,train,88,logarithmic,0.2,32768,1x,3.31581413287,0.300367983767,1.57003975055,1,1
1e+19,train,88,logarithmic,0.2,32768,2x,3.31581413287,0.300367974066,1.57003978058,1,1
1e+19,train,88,logarithmic,0.2,32768,3x,3.31581413287,0.300367985885,1.570039744,1,1
1e+19,train,88,logarithmic,0.2,32768,5x,3.31581413287,0.300367986897,1.57003974087,1,1
1e+19,train,88,logarithmic,0.2,32768,free,3.31581413287,0.300367974322,1.57003977978,1,1
1e+19,train,88,logarithmic,0.8,2048,1x,3.04694648774,0.279809774529,4.5562027899,1,1
1e+19,train,88,logarithmic,0.8,2048,2x,3.04694648774,0.279809778959,4.55620273096,1,1
1e+19,train,88,logarithmic,0.8,2048,3x,3.04694648774,0.279809783136,4.55620267538,1,1
1e+19,train,88,logarithmic,0.8,2048,5x,3.04694648774,0.279809778918,4.5562027315,1,1
1e+19,train,88,logarithmic,0.8,2048,free,3.04694648774,0.279809790472,4.55620257778,1,1
1e+19,train,88,logarithmic,0.8,32768,1x,3.17971971683,0.194892330629,3.51130776832,1,1
1e+19,train,88,logarithmic,0.8,32768,2x,3.17971971683,0.194892326723,3.51130782877,1,1
1e+19,train,88,logarithmic,0.8,32768,3x,3.17971971683,0.194892336272,3.51130768098,1,1
1e+19,train,88,logarithmic,0.8,32768,5x,3.17971971683,0.194892329079,3.5113077923,1,1
1e+19,train,88,logarithmic,0.8,32768,free,3.17971971683,0.194892323246,3.51130788259,1,1
1e+19,heldout,8,exponential,0.2,2048,1x,3.19811263026,0.377154213884,3.01619487531,0.755653383756,1
1e+19,heldout,8,exponential,0.2,2048,2x,3.19811263026,0.377154196443,3.01619515321,0.755653349093,1
1e+19,heldout,8,exponential,0.2,2048,3x,3.19811263026,0.377154196443,3.01619515321,0.755653349093,1
1e+19,heldout,8,exponential,0.2,2048,5x,3.19811263026,0.377154206641,3.01619482212,0.75565340253,1
1e+19,heldout,8,exponential,0.2,2048,free,3.19811263026,0.377154196443,3.01619515321,0.755653349093,1
1e+19,heldout,8,exponential,0.2,32768,1x,3.32914588071,0.26572154727,2.20103782668,0.803481096008,1
1e+19,heldout,8,exponential,0.2,32768,2x,3.32914588071,0.265721557016,2.20103782656,0.803481079607,1
1e+19,heldout,8,exponential,0.2,32768,3x,3.32914588071,0.265721610584,2.20103739797,0.803481108112,1
1e+19,heldout,8,exponential,0.2,32768,5x,3.32914588071,0.265721623541,2.20103738132,0.803481090881,1
1e+19,heldout,8,exponential,0.2,32768,free,3.32914588071,0.265721620231,2.20103744205,0.803481079623,1
1e+19,heldout,8,exponential,0.8,2048,1x,3.09172646232,0.251653288952,6.1996398571,0.8,1
1e+19,heldout,8,exponential,0.8,2048,2x,3.09172646232,0.251653291429,6.19963979608,0.8,1
1e+19,heldout,8,exponential,0.8,2048,3x,3.09172646232,0.251653307264,6.19963940598,0.8,1
1e+19,heldout,8,exponential,0.8,2048,5x,3.09172646232,0.251653305181,6.19963945729,0.8,1
1e+19,heldout,8,exponential,0.8,2048,free,3.09172646232,0.25165329967,6.19963959306,0.8,1
1e+19,heldout,8,exponential,0.8,32768,1x,3.23910883544,0.184625362343,4.31459814967,0.8,1
1e+19,heldout,8,exponential,0.8,32768,2x,3.23910883544,0.184625342095,4.31459862288,0.8,1
