dataset,model,validation_domain,n,rmse,bias,spearman
est_70b,additive_clr_spline,github,63,4.074487435892862,3.990949262328944,0.6490495391705069
est_70b,additive_clr_spline,stackexchange,63,3.963454773753178,3.905739706589265,0.4638832551607943
est_70b,additive_clr_spline,gutenberg_pg_19,63,3.957996789112912,3.9388822040387566,0.39943356374808
est_70b,additive_clr_spline,pile_cc,63,4.214869465456393,4.202271800315787,0.055827572964669746
est_70b,additive_clr_spline,ubuntu_irc,63,5.036641520910365,4.963765641243114,0.4812365740142767
est_70b,additive_clr_spline,hackernews,63,4.001004989963113,3.9833932538543477,-0.07334869431643626
est_70b,additive_clr_spline,pubmed_abstracts,63,4.0062286947248555,3.9745855648371324,0.2474078341013825
est_70b,additive_clr_spline,uspto_backgrounds,63,3.797314417575729,3.7714505158820706,0.39440270755186246
est_70b,lowrank_ilr_quadratic,arxiv,63,3.8158451803246782,3.7363816732533266,0.8233486943164362
est_70b,lowrank_ilr_quadratic,freelaw,63,3.844720232263072,3.803679976072562,0.7791378648233488
est_70b,lowrank_ilr_quadratic,pubmed_central,63,3.8724674962626957,3.818248226650935,0.7082853302611367
est_70b,lowrank_ilr_quadratic,wikipedia_en,63,4.274245691913243,4.254620982765426,0.43005952380952384
est_70b,lowrank_ilr_quadratic,dm_mathematics,63,3.2484931929786556,3.0973064770984085,0.866647465437788
est_70b,lowrank_ilr_quadratic,github,63,4.039337951480942,3.9664634645810284,0.7475518433179724
est_70b,lowrank_ilr_quadratic,stackexchange,63,3.94624133094849,3.8994620962599886,0.5905168793253491
est_70b,lowrank_ilr_quadratic,gutenberg_pg_19,63,3.9486847187818555,3.9309733908608906,0.48214285714285715
est_70b,lowrank_ilr_quadratic,pile_cc,63,4.2122422984022,4.20257914756062,0.2618087557603687
est_70b,lowrank_ilr_quadratic,ubuntu_irc,63,5.028812488845175,4.976113381824226,0.6806917326206926
est_70b,lowrank_ilr_quadratic,hackernews,63,3.988819380111012,3.97812945717365,0.14007296466973887
est_70b,lowrank_ilr_quadratic,pubmed_abstracts,63,4.024012658703442,4.002544853363493,0.4343798003072196
est_70b,lowrank_ilr_quadratic,uspto_backgrounds,63,3.7878746565555144,3.764639466303303,0.48599476767953453
