outer_fold,model,spec,inner_rmse,selected
4,additive_clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 4}",0.29609619632344464,False
4,additive_clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.28197539129936694,False
4,additive_clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.2716115312490023,False
4,additive_clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.28388140811274964,False
4,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.7022632754901046,False
4,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.7019407711244188,False
4,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.7090018268416634,False
4,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.5976285544653479,False
4,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.5955300445819566,False
4,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.6079975120812919,False
4,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.4248450810144509,False
4,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.4180603397563043,False
4,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.4601424247566841,False
4,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.6998035902016582,False
4,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.6994919596697853,False
4,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.7068320784237015,False
4,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.5990041726234787,False
